City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bethel,41.3712,-73.414,69.89,66,75,4.61,US,2021-06-16 01:53:00
1,Arlit,18.7369,7.3853,88.41,13,0,7.49,NE,2021-06-16 01:53:00
2,Longyearbyen,78.2186,15.6401,28.98,87,41,2.57,SJ,2021-06-16 01:53:00
3,Bluff,-46.6,168.3333,50.81,89,100,3.22,NZ,2021-06-16 01:51:24
4,Avarua,-21.2078,-159.775,78.85,73,20,16.11,CK,2021-06-16 01:53:01
5,Rikitea,-23.1203,-134.9692,74.84,78,65,11.99,PF,2021-06-16 01:53:01
6,Coihaique,-45.5752,-72.0662,31.68,82,100,3.04,CL,2021-06-16 01:51:35
7,Ust-Ilimsk,58.0006,102.6619,57.6,65,100,5.48,RU,2021-06-16 01:53:01
8,Noumea,-22.2763,166.4572,82.38,99,22,8.43,NC,2021-06-16 01:53:01
9,Airai,-8.9266,125.4092,71.24,52,31,3.15,TL,2021-06-16 01:53:02
10,Polovinnoye,54.7914,65.9864,70.29,69,84,9.71,RU,2021-06-16 01:53:02
11,Punta Arenas,-53.15,-70.9167,39.31,87,0,13.8,CL,2021-06-16 01:50:54
12,Montes Altos,-5.8333,-47.0667,76.57,58,49,3.65,BR,2021-06-16 01:53:02
13,Tuktoyaktuk,69.4541,-133.0374,69.8,37,20,12.66,CA,2021-06-16 01:51:58
14,Port Alfred,-33.5906,26.891,65.35,54,99,9.98,ZA,2021-06-16 01:52:21
15,Cape Town,-33.9258,18.4232,58.12,90,0,5.75,ZA,2021-06-16 01:48:26
16,Korla,41.7597,86.1469,72.77,19,100,15.59,CN,2021-06-16 01:53:03
17,Carnarvon,-24.8667,113.6333,59.07,44,3,16.11,AU,2021-06-16 01:53:03
18,Teguldet,57.3064,88.1667,62.08,87,98,5.59,RU,2021-06-16 01:53:03
19,Nikolskoye,59.7035,30.7861,52.88,90,2,4.7,RU,2021-06-16 01:53:03
20,Hithadhoo,-0.6,73.0833,83.07,72,14,8.25,MV,2021-06-16 01:53:04
21,Barrow,71.2906,-156.7887,39.22,81,40,23.02,US,2021-06-16 01:50:37
22,Xifeng,42.7372,124.7222,78.17,59,80,9.17,CN,2021-06-16 01:53:04
23,Jamestown,42.097,-79.2353,62.24,51,1,5.75,US,2021-06-16 01:53:04
24,Niteroi,-22.8833,-43.1036,69.42,77,0,4.61,BR,2021-06-16 01:48:07
25,Honningsvag,70.9821,25.9704,42.64,77,100,23.67,NO,2021-06-16 01:53:04
26,Cayenne,4.9333,-52.3333,80.1,87,75,2.3,GF,2021-06-16 01:53:05
27,Mandurah,-32.55,115.7,56.21,67,22,5.41,AU,2021-06-16 01:50:10
28,Iberia,29.9502,-91.7507,78.12,82,67,3.15,US,2021-06-16 01:53:05
29,Tasiilaq,65.6145,-37.6368,26.28,76,26,1.99,GL,2021-06-16 01:53:05
30,Lodja,-3.4833,23.4333,67.15,52,88,1.3,CD,2021-06-16 01:53:05
31,Husavik,66.0449,-17.3389,37.31,76,100,12.08,IS,2021-06-16 01:53:06
32,Busselton,-33.65,115.3333,61.12,66,39,7.96,AU,2021-06-16 01:53:06
33,Ushuaia,-54.8,-68.3,37.06,81,40,9.22,AR,2021-06-16 01:50:34
34,Kapaa,22.0752,-159.319,84.18,79,75,1.99,US,2021-06-16 01:51:09
35,Pevek,69.7008,170.3133,37.53,86,37,5.57,RU,2021-06-16 01:53:06
36,Port Elizabeth,-33.918,25.5701,57.09,67,100,4.56,ZA,2021-06-16 01:53:06
37,Mataura,-46.1927,168.8643,50.49,93,100,0.67,NZ,2021-06-16 01:53:07
38,Atuona,-9.8,-139.0333,79.52,77,28,23.47,PF,2021-06-16 01:53:07
39,Lebu,-37.6167,-73.65,49.37,72,80,5.5,CL,2021-06-16 01:53:07
40,Hovd,48.0056,91.6419,59.02,32,1,2.86,MN,2021-06-16 01:53:07
41,Chuy,-33.6971,-53.4616,47.25,76,53,8.37,UY,2021-06-16 01:53:08
42,Hermanus,-34.4187,19.2345,57.9,86,100,6.55,ZA,2021-06-16 01:53:08
43,Santa Ines,-3.6667,-45.38,72.28,92,3,2.42,BR,2021-06-16 01:53:08
44,Pecos,31.4229,-103.4932,93.81,22,1,9.22,US,2021-06-16 01:53:08
45,Torbay,47.6666,-52.7314,43.29,94,90,13.8,CA,2021-06-16 01:53:09
46,Halifax,44.6453,-63.5724,60.42,95,100,4.0,CA,2021-06-16 01:50:18
47,Cochrane,51.1834,-114.4687,72.21,53,75,19.57,CA,2021-06-16 01:53:09
48,Georgetown,5.4112,100.3354,84.13,82,20,1.01,MY,2021-06-16 01:48:50
49,New Norfolk,-42.7826,147.0587,53.92,86,100,2.77,AU,2021-06-16 01:51:23
50,Okha,53.5739,142.9478,67.55,57,100,17.22,RU,2021-06-16 01:53:09
51,Bengkulu,-3.8004,102.2655,77.18,88,96,5.06,ID,2021-06-16 01:53:05
52,Saint Anthony,45.0205,-93.218,79.12,43,1,1.99,US,2021-06-16 01:52:22
53,Hilo,19.7297,-155.09,79.25,76,97,5.01,US,2021-06-16 01:53:07
54,Hobart,-42.8794,147.3294,54.27,90,75,5.75,AU,2021-06-16 01:53:10
55,Albany,42.6001,-73.9662,63.18,79,14,4.0,US,2021-06-16 01:50:12
56,Fort Nelson,58.8053,-122.7002,53.19,100,90,8.05,CA,2021-06-16 01:53:10
57,Yellowknife,62.456,-114.3525,72.12,40,75,16.11,CA,2021-06-16 01:53:10
58,Sao Joao Do Paraiso,-15.3136,-42.0144,60.17,73,41,2.19,BR,2021-06-16 01:53:10
59,Caravelas,-17.7125,-39.2481,68.49,71,91,1.68,BR,2021-06-16 01:53:11
60,Port Lincoln,-34.7333,135.8667,58.44,66,9,14.16,AU,2021-06-16 01:53:11
61,Berezovka,53.7214,25.4993,47.55,95,12,6.06,BY,2021-06-16 01:53:11
62,Nishihara,26.1842,127.7558,85.66,89,75,20.71,JP,2021-06-16 01:53:11
63,Inhambane,-23.865,35.3833,65.66,83,5,4.23,MZ,2021-06-16 01:53:11
64,Mar Del Plata,-38.0023,-57.5575,48.99,66,75,8.01,AR,2021-06-16 01:49:11
65,Inuvik,68.3499,-133.7218,78.01,39,20,8.05,CA,2021-06-16 01:53:12
66,Sabang,5.8933,95.3214,83.53,73,98,10.89,ID,2021-06-16 01:53:12
67,Lavrentiya,65.5833,-171.0,42.8,77,29,9.71,RU,2021-06-16 01:53:12
68,East London,-33.0153,27.9116,63.73,56,86,5.08,ZA,2021-06-16 01:53:12
69,Bredasdorp,-34.5322,20.0403,47.52,93,78,2.3,ZA,2021-06-16 01:53:13
70,Nanortalik,60.1432,-45.2371,36.28,91,88,8.68,GL,2021-06-16 01:53:13
71,Tupik,54.4253,119.9327,58.93,65,100,8.61,RU,2021-06-16 01:53:13
72,Katsuura,35.1333,140.3,79.23,79,100,7.9,JP,2021-06-16 01:53:13
73,Verkhoyansk,67.5447,133.385,56.95,43,99,3.65,RU,2021-06-16 01:53:14
74,Butaritari,3.0707,172.7902,83.01,78,100,16.44,KI,2021-06-16 01:53:14
75,Ginda,30.6945,78.4932,64.89,82,100,1.92,IN,2021-06-16 01:53:14
76,Puerto Ayora,-0.7393,-90.3518,73.54,87,1,5.99,EC,2021-06-16 01:50:50
77,Phan Thiet,10.9333,108.1,87.4,56,91,9.86,VN,2021-06-16 01:53:14
78,Ambilobe,-13.2,49.05,68.22,95,10,2.55,MG,2021-06-16 01:53:15
79,Makakilo City,21.3469,-158.0858,82.56,60,90,8.05,US,2021-06-16 01:53:15
80,Lompoc,34.6391,-120.4579,93.22,63,1,14.97,US,2021-06-16 01:49:47
81,Porec,45.2258,13.5939,67.35,77,87,5.59,HR,2021-06-16 01:53:15
82,Ust-Kuyga,70.0167,135.6,48.96,41,23,22.01,RU,2021-06-16 01:53:17
83,Arraial Do Cabo,-22.9661,-42.0278,69.24,72,0,8.19,BR,2021-06-16 01:53:17
84,Sorong,-0.8833,131.25,81.68,75,89,4.47,ID,2021-06-16 01:53:17
85,Pringsewu,-5.3582,104.9744,80.73,81,58,4.05,ID,2021-06-16 01:53:17
86,Narsaq,60.9167,-46.05,37.96,86,100,3.02,GL,2021-06-16 01:53:18
87,Nidzica,53.3605,20.4275,47.79,93,81,5.91,PL,2021-06-16 01:50:38
88,Bontang,0.1333,117.5,79.68,83,100,7.36,ID,2021-06-16 01:53:18
89,Heihe,50.2441,127.4902,73.98,65,93,5.73,CN,2021-06-16 01:53:18
90,Mahebourg,-20.4081,57.7,70.25,100,75,4.61,MU,2021-06-16 01:53:18
91,Norman Wells,65.282,-126.8329,71.64,37,20,12.66,CA,2021-06-16 01:51:31
92,Sao Joao Da Barra,-21.6403,-41.0511,67.51,72,0,4.59,BR,2021-06-16 01:53:19
93,Tiksi,71.6872,128.8694,41.05,57,100,9.06,RU,2021-06-16 01:53:19
94,Mao,39.8885,4.2658,73.96,94,0,3.44,ES,2021-06-16 01:53:19
95,Saint-Philippe,-21.3585,55.7679,66.47,86,43,9.28,RE,2021-06-16 01:53:19
96,Brigantine,39.4101,-74.3646,73.45,67,1,5.75,US,2021-06-16 01:53:20
97,Castro,-24.7911,-50.0119,49.75,76,67,0.94,BR,2021-06-16 01:53:20
98,Corinto,37.9407,22.9573,66.76,73,100,6.91,GR,2021-06-16 01:53:20
99,Khatanga,71.9667,102.5,69.44,37,0,14.07,RU,2021-06-16 01:53:20
100,Akdepe,42.0551,59.3788,69.89,24,1,8.12,TM,2021-06-16 01:53:20
101,Coquimbo,-29.9533,-71.3436,58.73,72,90,6.91,CL,2021-06-16 01:53:21
102,Lagoa,39.05,-27.9833,68.0,91,100,13.73,PT,2021-06-16 01:53:21
103,Saskylakh,71.9167,114.0833,68.65,46,11,9.46,RU,2021-06-16 01:53:21
104,Esperance,-33.8667,121.9,57.04,65,100,15.12,AU,2021-06-16 01:53:21
105,Rawatsar,29.2833,74.3833,84.27,60,77,3.49,IN,2021-06-16 01:53:22
106,Mikuni,36.2171,136.1519,73.31,88,100,1.07,JP,2021-06-16 01:53:22
107,Dawson Creek,55.7666,-120.2362,57.16,88,20,0.0,CA,2021-06-16 01:53:22
108,Muridke,31.8025,74.2617,78.94,54,90,13.35,PK,2021-06-16 01:53:23
109,Tanout,14.9709,8.8879,84.69,30,1,6.42,NE,2021-06-16 01:53:23
110,Madaoua,14.073,5.96,83.71,38,0,6.8,NE,2021-06-16 01:53:24
111,Lac Du Bonnet,50.2536,-96.0612,74.75,77,0,3.06,CA,2021-06-16 01:50:16
112,Bambous Virieux,-20.3428,57.7575,70.21,100,75,4.61,MU,2021-06-16 01:50:30
113,Margherita,27.2833,95.6833,80.08,93,95,2.73,IN,2021-06-16 01:53:24
114,Mlalo,-4.9333,38.9333,66.02,91,100,6.11,TZ,2021-06-16 01:53:24
115,Sala Consilina,40.3912,15.5989,61.11,49,32,2.84,IT,2021-06-16 01:53:25
116,Vaini,-21.2,-175.2,78.96,83,75,10.36,TO,2021-06-16 01:53:25
117,Dwarka,22.2394,68.9678,84.7,75,100,15.79,IN,2021-06-16 01:53:25
118,Konstantinovskiy,57.8301,39.5899,62.31,87,94,7.14,RU,2021-06-16 01:53:25
119,Rossland,49.0831,-117.8022,60.66,47,100,3.0,CA,2021-06-16 01:53:26
120,Solnechnyy,50.7214,136.6319,82.53,40,91,9.95,RU,2021-06-16 01:53:26
121,Rosarito,32.3333,-117.0333,96.04,73,100,4.65,MX,2021-06-16 01:53:26
122,Cabo San Lucas,22.8909,-109.9124,92.8,72,27,12.39,MX,2021-06-16 01:50:29
123,Mecca,21.4267,39.8261,83.68,49,0,4.34,SA,2021-06-16 01:53:26
124,Bolobo,-2.1667,16.2333,73.96,62,56,3.02,CD,2021-06-16 01:53:26
125,Lovozero,68.005,35.0117,41.43,83,100,19.55,RU,2021-06-16 01:53:27
126,San Cristobal,7.7669,-72.225,69.98,93,62,2.42,VE,2021-06-16 01:51:41
127,Bubaque,11.2833,-15.8333,79.5,72,100,3.98,GW,2021-06-16 01:52:47
128,Kloulklubed,7.0419,134.2556,83.97,65,98,6.55,PW,2021-06-16 01:53:27
129,Ghazipur,25.5833,83.5667,81.88,86,99,4.43,IN,2021-06-16 01:53:27
130,Anadyr,64.75,177.4833,63.1,45,0,22.37,RU,2021-06-16 01:53:27
131,Edd,13.9297,41.6925,86.32,61,100,5.46,ER,2021-06-16 01:53:28
132,Cherskiy,68.75,161.3,54.45,79,98,15.88,RU,2021-06-16 01:53:28
133,Ixtapa,20.7,-105.2,82.22,80,98,3.0,MX,2021-06-16 01:53:28
134,Severo-Kurilsk,50.6789,156.125,48.6,79,84,6.93,RU,2021-06-16 01:53:28
135,Aklavik,68.2191,-135.0107,77.83,30,82,18.57,CA,2021-06-16 01:53:29
136,Tabory,58.5198,64.5495,65.89,72,27,4.65,RU,2021-06-16 01:53:29
137,Aviemore,57.1955,-3.8259,56.17,96,100,6.64,GB,2021-06-16 01:53:29
138,Kem,64.9555,34.5793,49.87,78,99,9.69,RU,2021-06-16 01:53:29
139,Paso De Carrasco,-34.8603,-56.0522,48.34,66,20,10.36,UY,2021-06-16 01:53:30
140,Amahai,-3.3333,128.9167,81.9,74,96,3.11,ID,2021-06-16 01:53:30
141,Belaya Gora,68.5333,146.4167,49.37,37,99,17.54,RU,2021-06-16 01:53:05
142,Codrington,-38.2667,141.9667,54.61,73,22,12.53,AU,2021-06-16 01:53:30
143,Terrace Bay,48.7834,-87.1,55.02,60,31,3.67,CA,2021-06-16 01:53:30
144,Geraldton,-28.7667,114.6,61.21,82,40,5.75,AU,2021-06-16 01:53:31
145,Tura,25.5198,90.2201,77.81,86,89,4.36,IN,2021-06-16 01:53:31
146,Kennett,36.2362,-90.0556,80.83,41,1,5.75,US,2021-06-16 01:53:31
147,Saint George,37.1041,-113.5841,106.95,9,1,1.99,US,2021-06-16 01:48:51
148,San Patricio,28.017,-97.5169,88.54,71,2,7.78,US,2021-06-16 01:53:31
149,Penzance,50.1186,-5.5371,57.76,92,99,7.2,GB,2021-06-16 01:53:32
150,Jining,35.405,116.5814,81.0,1,60,6.96,CN,2021-06-16 01:53:32
151,Broome,42.2506,-75.833,59.09,92,5,1.95,US,2021-06-16 01:53:32
152,Krasnogorskiy,54.6025,61.231,68.36,72,15,2.39,RU,2021-06-16 01:53:32
153,Raton,36.9034,-104.4391,80.94,47,100,5.97,US,2021-06-16 01:53:26
154,Upernavik,72.7868,-56.1549,34.43,87,10,2.75,GL,2021-06-16 01:53:33
155,Dikson,73.5069,80.5464,31.57,91,26,6.64,RU,2021-06-16 01:51:16
156,Kavaratti,10.5669,72.642,83.08,79,100,25.61,IN,2021-06-16 01:53:33
157,Stokmarknes,68.5646,14.9108,44.38,79,95,4.27,NO,2021-06-16 01:53:33
158,Samarai,-10.6167,150.6667,81.61,78,42,11.83,PG,2021-06-16 01:53:33
159,Boende,-0.2167,20.8667,72.52,79,62,0.92,CD,2021-06-16 01:53:34
160,Ketchikan,55.3422,-131.6461,57.18,84,100,6.35,US,2021-06-16 01:53:34
161,Zagyvaszanto,47.777,19.6709,64.65,75,100,4.65,HU,2021-06-16 01:53:34
162,Palmer,42.1584,-72.3287,66.49,95,1,4.54,US,2021-06-16 01:53:34
163,Uribia,11.7139,-72.266,82.17,69,100,15.35,CO,2021-06-16 01:53:35
164,Saint-Joseph,-21.3667,55.6167,65.46,86,35,7.52,RE,2021-06-16 01:53:35
165,Clyde River,70.4692,-68.5914,39.43,75,90,0.0,CA,2021-06-16 01:51:06
166,Aitape,-3.1374,142.3475,85.21,65,94,6.26,PG,2021-06-16 01:53:35
167,Road Town,18.4167,-64.6167,82.49,78,40,11.5,VG,2021-06-16 01:50:32
168,Nicoya,10.1483,-85.452,74.75,91,100,4.18,CR,2021-06-16 01:53:35
169,Port Augusta,-32.5,137.7667,53.74,48,42,16.58,AU,2021-06-16 01:53:36
170,Poum,-20.2333,164.0167,75.85,81,31,8.16,NC,2021-06-16 01:53:36
171,Marsh Harbour,26.5412,-77.0636,81.0,82,100,10.8,BS,2021-06-16 01:53:36
172,Kodiak,57.79,-152.4072,54.41,69,0,8.43,US,2021-06-16 01:53:36
173,Viseu,40.661,-7.9097,64.85,89,95,5.44,PT,2021-06-16 01:53:37
174,Mangrol,21.1167,70.1167,84.2,77,100,16.67,IN,2021-06-16 01:53:37
175,Mogadishu,2.0371,45.3438,77.94,81,100,17.67,SO,2021-06-16 01:53:37
176,Kogon,39.7228,64.5517,71.24,42,0,11.5,UZ,2021-06-16 01:53:37
177,Bereda,43.2686,-7.5406,64.58,96,99,1.12,ES,2021-06-16 01:53:38
178,Nemuro,43.3236,145.575,52.23,90,100,6.67,JP,2021-06-16 01:53:38
179,Deputatskiy,69.3,139.9,41.83,53,100,22.5,RU,2021-06-16 01:53:38
180,Murray Bridge,-35.1167,139.2667,54.48,64,99,15.64,AU,2021-06-16 01:53:38
181,Nome,64.5011,-165.4064,50.16,77,100,7.4,US,2021-06-16 01:53:38
182,Chara,56.9064,118.2631,58.89,56,79,5.61,RU,2021-06-16 01:53:39
183,Misratah,32.3754,15.0925,72.57,71,2,5.3,LY,2021-06-16 01:53:39
184,Hvide Sande,56.0045,8.1294,45.68,78,7,9.19,DK,2021-06-16 01:53:39
185,Alto Araguaia,-17.3147,-53.2153,66.02,52,32,4.56,BR,2021-06-16 01:53:39
186,Chokurdakh,70.6333,147.9167,39.51,55,100,15.39,RU,2021-06-16 01:53:40
187,Roebourne,-20.7833,117.1333,69.48,33,100,21.41,AU,2021-06-16 01:53:40
188,Tabou,4.423,-7.3528,77.09,88,97,6.67,CI,2021-06-16 01:53:40
189,Ochamchira,42.7121,41.4721,64.76,91,41,3.44,GE,2021-06-16 01:53:40
190,Bathsheba,13.2167,-59.5167,81.21,69,90,18.41,BB,2021-06-16 01:53:41
191,Beloha,-25.1667,45.05,61.63,88,13,7.63,MG,2021-06-16 01:51:59
192,Kamiiso,41.8167,140.65,57.58,94,75,11.5,JP,2021-06-16 01:53:41
193,Kuryk,43.2,51.65,77.36,54,0,4.25,KZ,2021-06-16 01:53:41
194,Lishui,28.4604,119.9103,91.4,63,100,3.15,CN,2021-06-16 01:53:41
195,Klaksvik,62.2266,-6.589,47.32,98,95,14.56,FO,2021-06-16 01:53:42
196,Mount Isa,-20.7333,139.5,82.17,47,6,8.05,AU,2021-06-16 01:53:42
197,Los Banos,14.1667,121.1833,89.8,59,100,2.51,PH,2021-06-16 01:53:42
198,Qaanaaq,77.484,-69.3632,35.33,87,100,3.94,GL,2021-06-16 01:53:42
199,Nambucca Heads,-30.65,153.0,69.01,56,0,2.98,AU,2021-06-16 01:53:43
200,Roswell,34.0232,-84.3616,78.69,56,1,10.36,US,2021-06-16 01:52:21
201,Bati,11.1833,40.0167,69.89,32,100,2.1,ET,2021-06-16 01:53:43
202,Constitucion,-35.3333,-72.4167,54.59,80,76,8.93,CL,2021-06-16 01:53:43
203,Namibe,-15.1961,12.1522,67.55,66,26,4.88,AO,2021-06-16 01:53:43
204,Salalah,17.0151,54.0924,80.01,88,63,2.37,OM,2021-06-16 01:50:31
205,Tezu,27.9167,96.1667,78.57,95,93,0.34,IN,2021-06-16 01:53:44
206,Qaqortoq,60.7167,-46.0333,37.2,88,99,3.51,GL,2021-06-16 01:53:44
207,Krasnoselkup,65.7,82.4667,68.85,73,69,9.46,RU,2021-06-16 01:53:44
208,Kaeo,-35.1,173.7833,64.33,78,19,8.43,NZ,2021-06-16 01:53:44
209,Naze,28.3667,129.4833,81.52,78,100,22.03,JP,2021-06-16 01:53:45
210,Lodwar,3.1191,35.5973,80.15,52,100,9.24,KE,2021-06-16 01:53:45
211,Saint-Pierre,-21.3393,55.4781,66.56,93,75,10.36,RE,2021-06-16 01:53:45
212,Wilmington,34.2257,-77.9447,74.86,91,1,0.0,US,2021-06-16 01:50:00
213,Wageningen,51.9667,5.6667,61.11,83,90,2.3,NL,2021-06-16 01:53:45
214,Bonavista,48.6499,-53.1147,48.2,89,93,15.3,CA,2021-06-16 01:53:46
215,Muros,42.7762,-9.0603,72.1,83,61,6.55,ES,2021-06-16 01:53:46
216,Mocuba,-16.8392,36.9856,60.98,98,83,2.53,MZ,2021-06-16 01:53:46
217,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,71.1,99,100,1.5,BR,2021-06-16 01:53:46
218,Pingzhuang,42.0372,119.2889,80.17,44,100,18.88,CN,2021-06-16 01:53:47
219,Ende,-8.8432,121.6623,83.68,63,17,4.9,ID,2021-06-16 01:53:47
220,Grindavik,63.8424,-22.4338,42.75,70,0,21.85,IS,2021-06-16 01:53:47
221,Puerto Del Rosario,28.5004,-13.8627,69.55,68,1,5.75,ES,2021-06-16 01:53:47
222,Aswan,24.0934,32.907,79.16,24,0,10.49,EG,2021-06-16 01:53:48
223,Zhigansk,66.7697,123.3711,59.31,50,34,13.09,RU,2021-06-16 01:53:48
224,Lata,40.1629,-8.3327,68.04,92,47,3.02,PT,2021-06-16 01:53:48
225,Pisco,-13.7,-76.2167,64.45,77,0,10.36,PE,2021-06-16 01:53:48
226,Tigil,57.8,158.6667,63.79,36,91,17.52,RU,2021-06-16 01:53:49
227,Kindu,-2.95,25.95,68.92,61,73,1.95,CD,2021-06-16 01:53:49
228,Arinos,-15.9169,-46.1056,66.74,79,37,2.19,BR,2021-06-16 01:53:49
229,Leshukonskoye,64.8989,45.7622,59.2,58,100,7.63,RU,2021-06-16 01:53:49
230,Provideniya,64.3833,-173.3,41.11,75,73,11.18,RU,2021-06-16 01:53:50
231,Abnub,27.2696,31.1511,75.42,44,0,13.13,EG,2021-06-16 01:53:50
232,Hambantota,6.1241,81.1185,79.14,100,0,8.05,LK,2021-06-16 01:53:50
233,Goderich,43.7501,-81.7165,57.52,67,93,11.5,CA,2021-06-16 01:53:50
234,Jiuquan,39.7432,98.5174,63.23,25,75,2.66,CN,2021-06-16 01:53:50
235,Bumba,2.1833,22.4667,70.36,97,75,0.72,CD,2021-06-16 01:53:51
236,Manzil Salim,35.8567,8.4765,73.4,39,74,6.46,TN,2021-06-16 01:53:51
